               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,            0.012871,             0.10784,           0.0030906,             0.99687,             0.99709,             0.99485,             0.98029,           0.0050747,            0.053861,          0.00058799,           0.0003565,           0.0003565,           0.0003565
                  67,            0.012417,             0.10583,           0.0029514,             0.99954,             0.99939,               0.995,             0.94715,           0.0066653,            0.082982,          0.00022019,           0.0003466,           0.0003466,           0.0003466
                  68,            0.011423,            0.099783,           0.0030642,             0.99993,                   1,               0.995,              0.9902,           0.0051207,            0.057981,          0.00013543,           0.0003367,           0.0003367,           0.0003367
                  69,            0.011398,            0.098515,           0.0030067,             0.99891,              0.9997,               0.995,             0.98873,           0.0046459,            0.056948,          0.00025956,           0.0003268,           0.0003268,           0.0003268
                  70,            0.011038,             0.09349,           0.0031645,             0.99787,              0.9988,               0.995,             0.96265,           0.0061073,            0.059677,          0.00045517,           0.0003169,           0.0003169,           0.0003169
                  71,            0.011508,            0.097421,           0.0030234,             0.99994,                   1,               0.995,             0.96328,           0.0055844,            0.065964,          0.00013767,            0.000307,            0.000307,            0.000307
                  72,            0.011592,             0.10268,           0.0030629,             0.99995,                   1,               0.995,             0.98744,           0.0046995,            0.063464,          9.2104e-05,           0.0002971,           0.0002971,           0.0002971
                  73,            0.012276,             0.10409,            0.003047,             0.99992,                   1,               0.995,             0.98417,           0.0053816,            0.063792,          0.00010214,           0.0002872,           0.0002872,           0.0002872
                  74,            0.011076,            0.092692,           0.0028578,             0.99992,             0.99997,               0.995,             0.98925,           0.0049505,            0.054932,           0.0001234,           0.0002773,           0.0002773,           0.0002773
                  75,            0.010817,            0.091781,           0.0025755,             0.99989,                   1,               0.995,             0.98666,           0.0047783,            0.056534,          0.00010594,           0.0002674,           0.0002674,           0.0002674
                  76,             0.01098,            0.091846,           0.0027578,             0.99995,                   1,               0.995,             0.99341,           0.0036448,            0.055873,          0.00010101,           0.0002575,           0.0002575,           0.0002575
                  77,            0.010425,             0.08717,           0.0027145,             0.99994,                   1,               0.995,             0.99183,            0.004266,            0.064618,          0.00010258,           0.0002476,           0.0002476,           0.0002476
                  78,            0.010852,            0.091299,           0.0028385,             0.99986,             0.99982,               0.995,             0.99037,           0.0047034,            0.073809,          0.00014184,           0.0002377,           0.0002377,           0.0002377
                  79,            0.010937,            0.092832,           0.0027436,             0.99994,             0.99999,               0.995,             0.97877,           0.0049277,            0.058446,           8.483e-05,           0.0002278,           0.0002278,           0.0002278
                  80,            0.010809,            0.093714,           0.0026027,             0.99995,                   1,               0.995,             0.99264,           0.0046183,            0.051874,          7.7842e-05,           0.0002179,           0.0002179,           0.0002179
